,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
448,Shenjiamen,CN,29.9576,122.298,80.64,91,29,6.11,scattered clouds
449,Santa Elena,EC,-2.2333,-80.85,72.79,73,36,12.15,scattered clouds
450,Verāval,IN,20.9,70.3667,79.93,87,50,14.54,scattered clouds
451,Sos'va,RU,59.1766,61.8558,65.57,79,29,5.77,scattered clouds
452,Aykhal,RU,66.0,111.5,41.81,73,100,6.73,overcast clouds
453,Bukid,PH,5.5717,125.4056,80.85,79,11,8.88,few clouds
454,Mushie,CD,-3.0167,16.9,78.71,63,29,3.04,scattered clouds
455,Rāmpur,IN,28.8167,79.0333,79.21,86,77,3.89,broken clouds
456,Kushmurun,KZ,52.4503,64.6311,63.55,37,0,5.82,clear sky
457,Balkhash,KZ,46.844,74.9804,66.18,35,59,22.15,broken clouds
458,Homer,US,59.6425,-151.5483,56.77,92,100,1.99,overcast clouds
459,Tzucacab,MX,20.0667,-89.05,94.89,39,100,6.4,overcast clouds
460,Woodburn,US,45.1437,-122.8554,84.02,54,0,1.99,clear sky
461,Tromsø,NO,69.6496,18.957,51.39,81,0,8.05,clear sky
462,Menongue,AO,-14.6585,17.691,63.32,31,13,4.99,few clouds
463,Chuchkovo,RU,54.2693,41.4465,75.33,35,82,3.31,broken clouds
464,Westport,US,41.1415,-73.3579,91.89,50,4,1.01,clear sky
465,Parrita,CR,9.5201,-84.3225,79.81,81,97,5.68,overcast clouds
466,Migori,KE,-1.0634,34.4731,65.95,71,79,3.65,broken clouds
467,Vestmanna,FO,62.1564,-7.1664,54.52,88,100,3.44,overcast clouds
468,Bima,ID,-8.4667,118.7167,72.59,88,96,4.38,overcast clouds
469,Fayaoué,NC,-20.65,166.5333,75.38,65,71,3.02,broken clouds
470,Turkmenabat,TM,39.0733,63.5786,75.65,17,0,11.16,clear sky
471,Irving,US,32.814,-96.9489,88.0,66,75,7.09,broken clouds
472,Makakilo City,US,21.3469,-158.0858,81.99,72,0,3.71,clear sky
473,Olafsvik,IS,64.8945,-23.7142,49.98,81,97,10.31,overcast clouds
474,Katobu,ID,-4.9408,122.5276,75.07,85,93,6.96,overcast clouds
475,Taganak,PH,6.0833,118.3,81.72,80,100,11.99,overcast clouds
476,Riyadh,SA,24.6877,46.7219,96.94,14,100,9.98,overcast clouds
477,Bangassou,CF,4.7413,22.8184,70.32,94,100,2.53,light rain
478,Deputatsky,RU,69.3,139.9,37.56,86,100,2.91,overcast clouds
479,Cap-aux-Meules,CA,47.3821,-61.8597,69.85,83,75,9.22,broken clouds
480,Narsaq,GL,60.9167,-46.05,48.16,86,41,5.93,scattered clouds
481,Mildura,AU,-34.2,142.15,47.07,90,100,9.35,overcast clouds
482,Verkhnevilyuysk,RU,63.4453,120.3167,43.97,93,100,5.06,overcast clouds
483,College,US,64.8569,-147.8028,57.58,81,100,1.5,overcast clouds
484,Bugarama,TZ,-2.8706,30.5281,68.94,45,28,1.36,scattered clouds
485,Manga,BF,11.6636,-1.0731,76.28,82,61,6.46,broken clouds
486,Khani,GE,41.9563,42.9566,78.37,51,76,6.22,broken clouds
487,Subiaco,IT,41.9254,13.0941,77.36,69,82,1.72,broken clouds
488,Tahe,CN,52.3333,124.7333,45.12,95,100,2.21,overcast clouds
489,‘Āhuimanu,US,21.4447,-157.8378,83.17,73,17,5.01,few clouds
490,Laguna,US,38.421,-121.4238,100.09,38,0,9.22,clear sky
491,Novy Urengoy,RU,66.0833,76.6333,55.72,70,35,18.7,scattered clouds
492,Giraltovce,SK,49.114,21.5173,68.58,87,49,3.18,scattered clouds
493,Santana do Livramento,BR,-30.8908,-55.5328,71.4,74,0,7.7,clear sky
494,Cabedelo,BR,-6.9811,-34.8339,76.69,77,90,19.44,overcast clouds
495,Nabire,ID,-3.3667,135.4833,74.39,90,100,3.15,overcast clouds
496,Pringi,EE,59.5394,24.7939,66.58,95,75,8.05,broken clouds
497,Rio Grande,BR,-32.035,-52.0986,69.94,78,92,3.06,overcast clouds
498,Chuāri Khās,IN,32.4333,76.0167,71.1,83,46,2.66,scattered clouds
499,Barrhead,GB,55.7992,-4.3929,63.84,79,82,10.36,broken clouds
500,Salinópolis,BR,-0.6136,-47.3561,82.18,76,97,13.38,overcast clouds
501,San Rafael,AR,-34.6177,-68.3301,68.88,20,96,6.24,overcast clouds
502,Atikokan,CA,48.7555,-91.6216,60.51,93,100,5.41,overcast clouds
503,Taguatinga,BR,-12.3857,-46.5711,93.47,20,4,5.79,clear sky
504,Domoni,KM,-12.2569,44.5319,74.28,85,24,2.64,few clouds
505,Bairiki Village,KI,1.3292,172.9752,81.45,70,20,7.54,few clouds
506,Dawson Creek,CA,55.7666,-120.2362,79.0,41,0,7.23,clear sky
507,North Bend,US,43.4065,-124.2243,68.16,100,51,1.01,broken clouds
508,Nizhniy Tsasuchey,RU,50.5167,115.1333,43.09,70,6,11.83,clear sky
509,Ubari,LY,26.5921,12.7805,95.31,16,0,8.7,clear sky
510,Itoman,JP,26.1247,127.6694,86.02,79,20,14.97,few clouds
511,Petauke,ZM,-14.2426,31.3253,67.35,44,0,9.69,clear sky
512,Saint-Prosper,CA,46.2117,-70.4811,72.72,84,66,3.74,broken clouds
513,Beaumont,US,30.0861,-94.1019,84.24,74,40,9.22,scattered clouds
514,Itarema,BR,-2.9248,-39.9167,83.35,63,36,16.6,scattered clouds
515,Inhambane,MZ,-23.865,35.3833,66.18,88,20,4.61,few clouds
516,Lagoa,PT,39.05,-27.9833,73.04,76,92,11.12,light rain
517,Tongliao,CN,43.6125,122.2653,63.03,66,100,2.86,overcast clouds
518,Chaadayevka,RU,53.1427,45.9122,66.04,48,1,7.0,clear sky
519,Lata,PT,40.1629,-8.3327,67.57,90,87,5.82,overcast clouds
520,Nortelândia,BR,-14.4547,-56.8028,99.39,14,14,1.88,few clouds
521,Wright,US,45.1833,-93.9502,83.01,69,75,0.0,broken clouds
522,Alamosa,US,37.4695,-105.87,73.38,46,0,0.0,clear sky
523,Gupitan,PH,7.7758,125.6406,73.45,96,34,1.39,scattered clouds
524,Nepānagar,IN,21.4667,76.4,75.29,87,21,1.59,few clouds
525,Hambantota,LK,6.1241,81.1185,77.34,94,20,6.91,few clouds
526,Nara,JP,34.6851,135.8049,80.49,59,31,1.45,scattered clouds
527,Grand Gaube,MU,-20.0064,57.6608,68.38,73,86,8.99,light rain
528,Sokoni,TZ,-6.4333,39.55,76.17,80,81,16.33,broken clouds
529,Verkhnyaya Sinyachikha,RU,57.976,61.6673,65.16,75,49,5.57,scattered clouds
530,Lebyazh'ye,RU,55.2689,66.4947,63.7,76,93,2.84,overcast clouds
531,Ust-Kuyga,RU,70.0167,135.6,38.93,88,80,5.46,broken clouds
532,Ilām,NP,26.9167,87.9167,69.33,93,30,2.35,scattered clouds
533,Kumul,CN,42.8,93.45,74.14,14,52,2.95,broken clouds
534,Trindade,BR,-16.6494,-49.4889,84.45,22,100,4.72,overcast clouds
535,Fairbanks,US,64.8378,-147.7164,57.6,80,100,1.57,overcast clouds
536,Yelizovo,RU,53.1873,158.3805,57.34,87,75,4.47,broken clouds
537,Jalacingo,MX,19.8,-97.3,72.0,61,100,8.97,overcast clouds
538,Ulladulla,AU,-35.35,150.4667,46.76,73,38,7.25,scattered clouds
539,Sittwe,MM,20.15,92.9,80.82,84,11,1.14,few clouds
540,Coquimbo,CL,-29.9533,-71.3436,61.9,74,88,4.03,overcast clouds
541,Paamiut,GL,61.994,-49.6678,41.36,99,100,9.1,overcast clouds
542,Sosnovo-Ozerskoye,RU,52.5249,111.5418,42.71,70,99,11.63,overcast clouds
543,Boguchany,RU,58.3814,97.4531,49.95,98,100,3.42,overcast clouds
544,Houma,US,29.5958,-90.7195,82.0,88,40,6.91,scattered clouds
545,Iquitos,PE,-3.7481,-73.2472,94.06,31,4,2.68,clear sky
546,Manono,CD,-7.3,27.4167,82.65,31,49,3.58,scattered clouds
547,Erenhot,CN,43.6475,111.9767,60.06,47,0,5.08,clear sky
548,Te Anau,NZ,-45.4167,167.7167,32.77,93,100,0.85,overcast clouds
549,Yenagoa,NG,4.9247,6.2642,76.33,82,82,4.83,broken clouds
550,Bosaso,SO,11.2842,49.1816,88.07,52,1,3.51,clear sky
551,Øksfjord,NO,70.2396,22.3479,53.67,81,99,1.97,overcast clouds
552,Terrace,CA,54.5163,-128.6035,82.78,53,4,0.76,clear sky
553,Kamaishi,JP,39.2667,141.8833,66.96,79,15,2.95,few clouds
554,Diffa,NE,13.3154,12.6113,74.1,85,100,14.94,overcast clouds
555,Yzeure,FR,46.5644,3.355,72.03,47,24,3.09,few clouds
556,Baryshevo,RU,54.9564,83.1822,51.66,78,72,3.24,broken clouds
557,Eldoret,KE,0.5204,35.2699,56.07,92,97,6.26,light rain
558,Chaoyang,CN,41.5703,120.4586,61.23,86,7,4.74,clear sky
559,Palafrugell,ES,41.9174,3.1631,83.16,72,50,4.0,scattered clouds
560,Sungai Penuh,ID,-2.0833,101.3833,62.56,97,88,0.65,overcast clouds
561,Birao,CF,10.2849,22.7882,72.77,94,91,4.23,overcast clouds
562,Gazojak,TM,41.1875,61.4036,72.52,26,0,12.57,clear sky
563,Digha,IN,21.6833,87.55,80.44,82,18,9.01,few clouds
564,Bundaberg,AU,-24.85,152.35,47.21,66,0,1.01,clear sky
565,Lethbridge,CA,49.7,-112.8186,72.41,64,75,3.44,broken clouds
566,Buzdyak,RU,54.5833,54.55,66.13,51,0,4.03,clear sky
567,Constitución,CL,-35.3333,-72.4167,58.39,72,100,14.72,overcast clouds
568,Kozachi Laheri,UA,46.7037,32.9776,79.29,29,3,11.77,clear sky
569,Rodrigues Alves,BR,-7.738,-72.6509,96.67,24,0,2.1,clear sky
570,Nome,US,64.5011,-165.4064,49.17,73,94,4.97,overcast clouds
571,Vila,PT,42.0304,-8.1588,71.71,69,9,4.03,clear sky
572,Chegdomyn,RU,51.1167,133.0167,48.94,91,100,2.91,overcast clouds
573,Ranong,TH,9.9658,98.6348,79.41,89,100,5.1,light rain
574,Mogwase,ZA,-25.185,27.2665,61.11,35,0,0.29,clear sky
575,Warstein,DE,51.45,8.3667,78.8,50,99,5.57,overcast clouds
576,Nelson Bay,AU,-32.7167,152.15,48.99,76,2,11.01,clear sky
577,Tonantins,BR,-2.8731,-67.8022,91.31,38,83,2.98,broken clouds
578,Tateyama,JP,34.9833,139.8667,75.09,88,100,8.84,overcast clouds
579,Álamos,MX,27.0167,-108.9333,89.02,54,94,4.56,overcast clouds
580,Tarko-Sale,RU,64.9225,77.785,58.35,80,58,12.95,broken clouds
581,Tselinnoye,RU,53.0833,85.6667,51.53,84,2,5.08,clear sky
582,Forsytheganj,BY,52.6333,29.7333,71.69,46,79,8.59,broken clouds
583,Port Hedland,AU,-20.3167,118.5667,66.25,20,3,11.5,clear sky
584,Oddur,SO,4.1213,43.8894,76.26,64,100,16.37,overcast clouds
585,Flin Flon,CA,54.7682,-101.865,69.8,34,98,4.45,overcast clouds
586,Kuandian,CN,40.7286,124.7847,57.06,86,98,1.95,overcast clouds
587,Mgachi,RU,51.05,142.2667,56.25,83,7,10.69,clear sky
588,Fukuechō,JP,32.6881,128.8419,79.79,80,51,4.79,broken clouds
589,Saint-Augustin,CA,51.226,-58.6502,66.54,79,99,3.94,overcast clouds
590,Camaçari,BR,-12.6975,-38.3242,80.37,59,88,8.25,overcast clouds
591,Dārāb,IR,28.7519,54.5444,82.54,9,1,19.35,clear sky
592,Maragogi,BR,-9.0122,-35.2225,75.58,73,50,14.12,light rain
593,Cockburn Town,TC,21.4612,-71.1419,83.46,74,4,14.25,clear sky
594,Sheregesh,RU,52.9209,87.9869,46.27,92,9,2.15,clear sky
595,Kirakira,SB,-10.4544,161.9205,78.67,84,95,6.49,overcast clouds
596,Dicabisagan,PH,17.0818,122.4157,79.38,79,100,5.57,overcast clouds
597,Buta,CD,2.7858,24.73,75.7,76,100,1.97,light rain
598,Adrar,MR,20.5022,-10.0711,102.6,21,0,11.77,clear sky
599,Thunder Bay,CA,48.4001,-89.3168,60.13,90,100,3.87,overcast clouds
600,Obregon,NI,11.9566,-85.9636,82.8,73,100,5.35,overcast clouds
601,Pedregulho,BR,-20.2569,-47.4767,80.42,23,68,4.12,broken clouds
602,Belyy Yar,RU,53.6039,91.3903,57.09,74,75,4.47,broken clouds
603,Kaifeng,CN,34.7911,114.3483,72.43,62,100,2.24,overcast clouds
604,Alekseyevka,RU,50.6309,38.6903,74.97,34,11,11.39,few clouds
605,Phan Thiet,VN,10.9333,108.1,78.57,88,100,7.9,light rain
606,Denpasar,ID,-8.65,115.2167,78.46,83,40,17.27,scattered clouds
607,Belgrade,RS,44.804,20.4651,69.24,92,0,2.3,clear sky
608,Tautira,PF,-17.7333,-149.15,75.9,80,91,19.37,light rain
609,Lewistown,US,40.5992,-77.5714,86.14,76,75,9.22,broken clouds
610,Babstovo,RU,48.1167,132.4833,56.19,83,100,5.91,overcast clouds
611,Baturaja,ID,-4.1333,104.1667,71.89,98,63,2.46,broken clouds
612,Tiarei,PF,-17.5333,-149.3333,75.22,81,52,21.41,light rain
613,Necochea,AR,-38.5473,-58.7368,66.58,46,7,6.02,clear sky
614,Zhangaözen,KZ,43.3,52.8,76.64,20,0,11.36,clear sky
615,Seymchan,RU,62.8833,152.4333,47.89,91,100,16.55,light rain
616,San Patricio,US,28.017,-97.5169,91.9,57,98,3.09,overcast clouds
617,Palauig,PH,15.435,119.9045,80.71,81,100,8.79,light rain
618,Kandrian,PG,-6.2167,149.55,75.24,91,86,5.88,light rain
619,Valdivia,CL,-39.8142,-73.2459,52.79,57,96,1.3,overcast clouds
620,Ishigaki,JP,24.3448,124.1572,85.86,79,85,18.16,overcast clouds
621,Buncrana,IE,55.1333,-7.45,64.17,77,6,10.58,clear sky
622,Mahibadhoo,MV,3.7833,72.9667,81.63,71,100,8.93,overcast clouds
623,Taltal,CL,-25.4,-70.4833,61.65,70,24,6.89,few clouds
624,Issoire,FR,45.55,3.25,78.06,51,100,3.36,overcast clouds
625,Vuktyl,RU,63.8567,57.3094,56.19,56,39,6.04,scattered clouds
626,Kushiro,JP,42.975,144.3747,58.53,85,64,10.16,broken clouds
627,Aklavik,CA,68.2191,-135.0107,61.0,76,100,3.89,overcast clouds
628,Kharan,PK,28.5833,65.4167,82.27,23,94,2.26,overcast clouds
629,Rawson,AR,-43.3002,-65.1023,57.67,29,6,17.78,clear sky
630,Carutapera,BR,-1.195,-46.02,81.72,80,72,8.01,broken clouds
631,Dzilam González,MX,21.2833,-88.9333,90.63,54,89,7.54,overcast clouds
632,Abu Kamal,SY,34.4506,40.9171,92.28,23,0,3.33,clear sky
633,Chumphon,TH,10.3333,98.8333,73.54,95,100,3.11,overcast clouds
634,Guhāgar,IN,17.4842,73.1929,77.2,87,97,2.39,overcast clouds
635,Samoded,RU,63.6083,40.5111,56.7,82,32,4.5,scattered clouds
636,Haradok,BY,55.4624,29.9816,66.81,61,6,6.26,clear sky
637,Mogadishu,SO,2.0371,45.3438,75.51,88,66,16.67,light rain
638,Kuala Terengganu,MY,5.3302,103.1408,78.85,87,100,6.78,overcast clouds
639,Departamento de Maldonado,UY,-34.6667,-54.9167,70.02,50,12,0.78,few clouds
640,Suileng,CN,47.25,127.0833,54.07,93,82,6.6,broken clouds
641,Matara,LK,5.9485,80.5353,77.4,87,93,12.44,overcast clouds
642,Kenora,CA,49.8167,-94.4337,76.66,41,41,3.51,scattered clouds
643,Grants,US,35.1473,-107.8514,77.23,36,75,5.75,broken clouds
644,Karratha,AU,-20.7377,116.8463,65.52,26,4,13.42,clear sky
645,Havelock,US,34.8791,-76.9013,89.94,68,100,1.01,overcast clouds
646,Lugovoy,KZ,42.9472,72.7644,64.35,34,20,1.92,few clouds
647,Xichang,CN,27.8964,102.2634,66.69,93,100,1.97,overcast clouds
648,Capitão Poço,BR,-1.7464,-47.0594,82.11,67,100,6.71,overcast clouds
649,Batticaloa,LK,7.7102,81.6924,80.6,77,100,4.61,overcast clouds
650,Opuwo,NA,-18.0607,13.84,70.11,21,6,2.42,clear sky
651,Sinnamary,GF,5.3833,-52.95,83.03,72,91,7.54,overcast clouds
652,Bad Dürkheim,DE,49.4686,8.1664,85.59,33,100,3.83,overcast clouds
653,Montes Claros,BR,-16.735,-43.8617,83.05,25,4,9.89,clear sky
654,Sisimiut,GL,66.9395,-53.6735,46.9,65,100,4.05,overcast clouds
655,Pyu,MM,18.4833,96.4333,77.29,90,89,1.79,moderate rain
656,Marsh Harbour,BS,26.5412,-77.0636,84.04,72,86,9.28,overcast clouds
657,Mossamedes,AO,-15.1961,12.1522,63.99,84,100,7.36,overcast clouds
658,Trincomalee,LK,8.5711,81.2335,79.56,77,100,17.09,overcast clouds
659,Tuxpan,MX,19.55,-103.4,79.12,62,8,4.03,clear sky
660,Manta,EC,-0.95,-80.7333,77.27,69,40,10.83,scattered clouds
661,Altar,MX,30.7,-111.8167,88.65,46,32,5.93,scattered clouds
662,Cortez,US,37.3489,-108.5859,82.04,37,26,8.59,scattered clouds
663,Nikol'sk,RU,53.7189,46.0712,64.9,49,5,5.55,clear sky
664,Merauke,ID,-8.4667,140.3333,76.59,86,70,13.67,broken clouds
665,Fare,PF,-16.7,-151.0167,75.76,82,9,14.14,light rain
666,Santa Cruz de Tenerife,ES,28.4682,-16.2546,80.58,81,20,12.66,few clouds
667,Bāfq,IR,31.6128,55.4107,76.28,11,0,9.62,clear sky
668,Strezhevoy,RU,60.7333,77.5889,60.51,87,12,7.83,few clouds
669,Sola,VU,-13.8833,167.55,78.6,80,37,14.41,scattered clouds
670,Morant Bay,JM,17.8815,-76.4093,89.71,72,24,11.32,few clouds
671,Chaman,PK,30.9236,66.4512,75.56,65,100,7.25,overcast clouds
